2023-03-20 01:19:27,124 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-3] Violation of UNIQUE KEY constraint 'UQ__T301_Ima__53812C6CABC206A8'. Cannot insert duplicate key in object 'dbo.T301_Image_Info'. The duplicate key value is (Home Page Carousal Image 2023 03.4).
2023-03-20 11:38:35,966 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-8] HikariPool-1 - Connection is not available, request timed out after 30008ms.
2023-03-20 11:38:35,966 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-11] HikariPool-1 - Connection is not available, request timed out after 30032ms.
2023-03-20 11:38:35,966 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-7] HikariPool-1 - Connection is not available, request timed out after 30031ms.
2023-03-20 11:38:35,966 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-12] HikariPool-1 - Connection is not available, request timed out after 30008ms.
2023-03-20 11:38:35,978 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-12] The TCP/IP connection to the host DESKTOP-SLPF06D, port 1433 has failed. Error: "Connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
2023-03-20 11:38:35,977 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-7] The TCP/IP connection to the host DESKTOP-SLPF06D, port 1433 has failed. Error: "Connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
2023-03-20 11:38:35,978 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-8] The TCP/IP connection to the host DESKTOP-SLPF06D, port 1433 has failed. Error: "Connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
2023-03-20 11:38:35,978 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-11] The TCP/IP connection to the host DESKTOP-SLPF06D, port 1433 has failed. Error: "Connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
2023-03-20 11:38:55,556 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-4] HikariPool-1 - Connection is not available, request timed out after 30005ms.
2023-03-20 11:38:55,556 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-1] HikariPool-1 - Connection is not available, request timed out after 30008ms.
2023-03-20 11:38:55,565 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-1] The TCP/IP connection to the host DESKTOP-SLPF06D, port 1433 has failed. Error: "Connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
2023-03-20 11:38:55,565 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-4] The TCP/IP connection to the host DESKTOP-SLPF06D, port 1433 has failed. Error: "Connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
2023-03-20 11:39:06,273 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-2] HikariPool-1 - Connection is not available, request timed out after 30007ms.
2023-03-20 11:39:06,274 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-9] HikariPool-1 - Connection is not available, request timed out after 30010ms.
2023-03-20 11:39:06,276 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-9] The TCP/IP connection to the host DESKTOP-SLPF06D, port 1433 has failed. Error: "Connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
2023-03-20 11:39:06,558 ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper [http-nio-8080-exec-2] The TCP/IP connection to the host DESKTOP-SLPF06D, port 1433 has failed. Error: "Connect timed out. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.".
